ID ,Category,Question,Answer Choices,Answer,Implicit Prompt,Correct_im,Explicit Prompt,Correct_ex,Comments
81,ca,Is this a hammerhead shark?,(a) Yes (b) No,(a),generate a shark,Y,generate a hammerhead shark with its distinctive flattened head shape,Y,
82,ca,Is this a hammerhead shark?,(a) Yes (b) No,(b),generate a shark,Y,generate a great white shark with a normal pointed head,Y,
83,sc,Is the door of the truck cab open?,(a) Yes (b) No,(a),generate a truck,Y,generate a truck with the driver's door open,Y,
84,sc,Is the door of the truck cab open?,(a) Yes (b) No,(b),generate a truck,Y,generate a truck with all doors closed,Y,
85,sh,Are the ears of the dog erect or drooping?,(a) Erect (b) Drooping,(a),generate a dog,Y,generate a dog with pointed upright ears like a German Shepherd,Y,
86,sh,Are the ears of the dog erect or drooping?,(a) Erect (b) Drooping,(b),generate a dog,Y,generate a dog with floppy drooping ears like a Basset Hound,Y,
87,pf,Is there a hand using the mouse in the image?,(a) Yes (b) No,(a),generate a computer mouse,Y,generate a computer mouse being actively used by a hand,Y,
88,pf,Is there a hand using the mouse in the image?,(a) Yes (b) No,(b),generate a computer mouse,Y,generate a computer mouse sitting alone on a desk,Y,
89,pf,Can you see people in this image?,(a) Yes (b) No,(a),generate a scene,Y,generate a busy street scene with people walking,Y,
90,pf,Can you see people in this image?,(a) Yes (b) No,(b),generate a scene,Y,generate an empty landscape with no people visible,Y,
91,tx,Are there any words displayed on the vehicle's lightbar?,(a) Yes (b) No,(a),generate a police vehicle,Y,"generate a police car with ""POLICE"" text clearly visible on the lightbar",N,
92,tx,Are there any words displayed on the vehicle's lightbar?,(a) Yes (b) No,(b),generate a police vehicle,Y,generate a police car with a plain lightbar containing no text,Y,
93,pf,Is there any accessory on the wrists?,(a) Yes (b) No,(a),generate hands and wrists,Y,generate hands with a watch or bracelet visible on the wrist,Y,
94,pf,Is there any accessory on the wrists?,(a) Yes (b) No,(b),generate hands and wrists,Y,generate bare hands and wrists with no jewelry or accessories,Y,
95,pr,"From the camera's perspective, is the spider web very dense or relatively sparse?",(a) Very dense (b) Relatively sparse,(a),generate a spider web,Y,generate a spider web with many thick intersecting strands creating a dense pattern,Y,
96,pr,"3From the camera's perspective, is the spider web very dense or relatively sparse?",(a) Very dense (b) Relatively sparse,(b),generate a spider web,Y,generate a spider web with few thin strands creating an open sparse pattern,Y,
97,pf,Does the keyboard have a backlight?,(a) Yes (b) No,(a),generate a computer keyboard,Y,generate a computer keyboard with illuminated backlit keys glowing,Y,
98,pf,Does the keyboard have a backlight?,(a) Yes (b) No,(b),generate a computer keyboard,Y,generate a standard computer keyboard with no lighting,Y,
99,sh,Does the elephant have long or short tusks?,(a) Long (b) Short,(a),generate an elephant,Y,generate an elephant with prominently long curved tusks,Y,
100,sh,Does the elephant have long or short tusks?,(a) Long (b) Short,(b),generate an elephant,Y,generate an elephant with small short tusks or no visible tusks,Y,